,Name,Age,Nationality,Overall,Potential,Value,Wage,Preferred.Foot,Weak.Foot,Skill.Moves,Position,Contract.Valid.Until,Height,Weight,Release.Clause,Meter,Kilo
65,Douglas Costa,27,Brazil,86,86,46500000,175000,Left,B,S,LM,2022,5.8,154,76700000,1.73,69.9
66,T. Müller,28,Germany,86,86,45000000,135000,Right,A,B,CAM,2021,6.1,165,74300000,1.85,74.8
67,Thiago,27,Spain,86,86,45500000,130000,Right,B,S,CM,2021,5.9,154,75100000,1.75,69.9
68,M. Reus,29,Germany,86,86,43500000,100000,Right,A,A,LM,2023,5.11,157,74000000,1.8,71.2
69,Azpilicueta,28,Spain,86,86,35000000,175000,Right,B,C,RB,2022,5.10,168,64800000,1.78,76.2
70,L. Bonucci,31,Italy,86,86,30000000,160000,Right,B,C,RCB,2023,6.3,187,49500000,1.91,84.8
71,T. Alderweireld,29,Belgium,86,87,39000000,150000,Right,B,C,RCB,2020,6.1,179,75100000,1.85,81.2
72,M. Pjanić,28,Bosnia Herzegovina,86,86,44000000,180000,Right,A,B,CDM,2023,5.10,159,72600000,1.78,72.1
73,M. Benatia,31,Morocco,86,86,30000000,160000,Right,B,C,CB,2020,6.2,207,49500000,1.88,93.9
74,M. Özil,29,Germany,86,86,43500000,190000,Left,C,A,CAM,2021,5.11,168,82700000,1.8,76.2
75,Fernandinho,33,Brazil,86,86,18000000,185000,Right,A,B,CDM,2020,5.10,148,33300000,1.78,67.1
76,Iniesta,34,Spain,86,86,21500000,21000,Right,A,A,LF,2021,5.7,150,26900000,1.7,68.0
77,M. Škriniar,23,Slovakia,85,92,46500000,82000,Right,A,C,LCB,2022,6.2,176,88400000,1.88,79.8
78,S. Milinković-Savić,23,Serbia,85,90,50500000,73000,Right,A,A,CM,2023,6.3,168,89600000,1.91,76.2
79,Marco Asensio,22,Spain,85,92,54000000,215000,Left,B,A,RW,2023,6.0,168,121500000,1.83,76.2
80,N. Fekir,24,France,85,89,50000000,92000,Left,B,A,CAM,2020,5.8,165,98800000,1.73,74.8
81,Alisson,25,Brazil,85,90,36500000,115000,Right,B,D,GK,2024,6.3,201,72100000,1.91,91.2
82,J. Kimmich,23,Germany,85,88,40500000,92000,Right,A,B,RCM,2023,5.9,154,69900000,1.75,69.9
83,Saúl,23,Spain,85,90,50500000,77000,Left,A,B,RCM,2026,6.0,170,107300000,1.83,77.1
84,R. Mahrez,27,Algeria,85,85,40500000,205000,Left,A,S,RW,2023,5.10,148,74900000,1.78,67.1
85,D. Alaba,26,Austria,85,87,38000000,110000,Left,A,B,LB,2021,5.11,168,65600000,1.8,76.2
86,Koke,26,Spain,85,86,45000000,88000,Right,A,B,LM,2019,5.9,163,95600000,1.75,73.9
87,A. Lacazette,27,France,85,86,45000000,180000,Right,A,A,ST,2022,5.9,161,88900000,1.75,73.0
88,K. Manolas,27,Greece,85,87,37500000,96000,Right,C,C,LCB,2022,6.2,183,66600000,1.88,83.0
89,N. Otamendi,30,Argentina,85,85,28500000,170000,Right,B,C,CB,2022,6.0,179,52700000,1.83,81.2
90,Parejo,29,Spain,85,85,37000000,66000,Right,A,B,RCM,2020,6.0,163,77700000,1.83,73.9
92,W. Szczęsny,28,Poland,85,87,32000000,125000,Right,B,D,GK,2021,6.5,198,55200000,1.96,89.8
93,A. Sánchez,29,Chile,85,85,37500000,215000,Right,B,A,RW,2022,5.7,163,69400000,1.7,73.9
94,Y. Brahimi,28,Algeria,85,85,39000000,28000,Right,B,A,LM,2019,5.9,146,78000000,1.75,66.2
95,J. Boateng,29,Germany,85,85,30000000,115000,Right,A,C,RCB,2021,6.4,198,49500000,1.93,89.8
96,A. Vidal,31,Chile,85,85,26000000,205000,Right,A,B,CAM,2021,5.11,165,53300000,1.8,74.8
97,I. Perišić,29,Croatia,85,85,37500000,110000,Right,S,A,LM,2022,6.1,176,63800000,1.85,79.8
98,E. Džeko,32,Bosnia Herzegovina,85,85,30500000,115000,Right,S,C,ST,2020,6.4,185,51900000,1.93,83.9
99,S. Khedira,31,Germany,85,85,33000000,160000,Right,A,C,RCM,2021,6.2,198,54500000,1.88,89.8
100,Diego Costa,29,Spain,85,85,38500000,100000,Right,A,C,LS,2021,6.2,190,78900000,1.88,86.2
101,R. Nainggolan,30,Belgium,85,85,35500000,105000,Right,B,B,CAM,2022,5.9,170,60400000,1.75,77.1
102,Naldo,35,Brazil,85,85,9000000,38000,Right,A,C,CB,2020,6.6,201,15300000,1.98,91.2
103,B. Matuidi,31,France,85,85,26000000,145000,Left,C,C,LM,2020,5.11,165,42900000,1.8,74.8
104,Miranda,33,Brazil,85,85,15500000,96000,Right,B,C,CB,2020,6.1,172,26400000,1.85,78.0
105,K. Benzema,30,France,85,85,37000000,240000,Right,A,A,ST,2021,6.1,179,75900000,1.85,81.2
106,Filipe Luís,32,Brazil,85,85,21500000,81000,Left,B,B,LB,2019,6.0,163,44100000,1.83,73.9
107,V. Kompany,32,Belgium,85,85,22000000,170000,Right,B,C,CB,2019,6.3,187,40700000,1.91,84.8
108,Pepe,35,Portugal,85,85,9000000,57000,Right,B,C,RCB,2019,6.2,179,17100000,1.88,81.2
109,Z. Ibrahimović,36,Sweden,85,85,14000000,15000,Right,A,S,RS,2022,6.5,209,21000000,1.96,94.8
110,D. Sánchez,22,Colombia,84,88,34000000,105000,Right,B,C,RCB,2024,6.2,174,65500000,1.88,78.9
111,J. Giménez,23,Uruguay,84,88,34000000,63000,Right,B,C,RCB,2023,6.1,176,72300000,1.85,79.8
112,Alex Telles,25,Brazil,84,87,32000000,22000,Left,C,B,LB,2021,5.11,157,66400000,1.8,71.2
113,A. Laporte,24,France,84,88,34000000,135000,Left,B,C,LCB,2023,6.2,187,65500000,1.88,84.8
114,Bruno Fernandes,23,Portugal,84,88,40500000,22000,Right,B,A,LCM,2023,5.10,152,84000000,1.78,68.9
115,N. Süle,22,Germany,84,90,36500000,84000,Right,B,C,CB,2022,6.5,214,67500000,1.96,97.1
116,A. Martial,22,France,84,90,42500000,165000,Right,B,A,LW,2019,6.0,168,87100000,1.83,76.2
117,D. Alli,22,England,84,90,42500000,115000,Right,B,A,LCM,2024,6.2,176,87100000,1.88,79.8
118,Fabinho,24,Brazil,84,88,34000000,120000,Right,C,B,CDM,2023,6.2,172,67200000,1.88,78.0
119,Marquinhos,24,Brazil,84,89,35500000,90000,Right,B,C,LDM,2022,6.0,165,68300000,1.83,74.8
120,William Carvalho,26,Portugal,84,86,31500000,38000,Right,A,B,CDM,2023,6.2,183,68500000,1.88,83.0
121,Jorginho,26,Italy,84,87,38000000,155000,Right,B,B,CM,2023,5.11,148,73200000,1.8,67.1
122,F. Thauvin,25,France,84,87,39000000,72000,Left,B,A,RM,2021,5.10,154,77000000,1.78,69.9
123,Carvajal,26,Spain,84,87,31500000,185000,Right,B,B,RB,2022,5.8,161,66900000,1.73,73.0
124,M. Depay,24,Netherlands,84,89,42000000,93000,Right,B,S,ST,2021,5.9,172,83000000,1.75,78.0
125,H. Son,25,Korea Republic,84,85,37000000,125000,Right,S,A,LM,2023,6.0,143,71200000,1.83,64.9
126,A. Lopes,27,Portugal,84,86,25000000,72000,Left,C,D,GK,2020,6.0,179,49400000,1.83,81.2
127,S. de Vrij,26,Netherlands,84,86,31500000,88000,Right,A,C,CB,2023,6.2,172,55900000,1.88,78.0
128,M. Perin,25,Italy,84,89,29500000,105000,Right,B,D,GK,2022,6.2,170,50900000,1.88,77.1
129,J. Cuadrado,30,Colombia,84,84,29500000,150000,Right,B,S,RAM,2020,5.10,159,48700000,1.78,72.1
130,Iago Aspas,30,Spain,84,84,30000000,45000,Left,B,B,ST,2022,5.9,148,63000000,1.75,67.1
131,B. Leno,26,Germany,84,87,27000000,115000,Right,A,D,GK,2023,6.3,183,53300000,1.91,83.0
132,N. Matić,29,Serbia,84,84,24000000,165000,Left,B,B,CDM,2020,6.4,187,44400000,1.93,84.8
133,L. Hrádecký,28,Finland,84,84,22000000,74000,Right,B,D,GK,2023,6.4,187,37400000,1.93,84.8
134,Illarramendi,28,Spain,84,84,31000000,51000,Right,B,A,RDM,2023,5.10,165,65100000,1.78,74.8
135,K. Walker,28,England,84,84,24500000,165000,Right,C,C,RB,2022,6.0,154,45300000,1.83,69.9
136,I. Gündoğan,27,Germany,84,84,32000000,175000,Right,A,A,CM,2020,5.11,176,59200000,1.8,79.8
137,José Callejón,31,Spain,84,84,27500000,105000,Right,B,B,RM,2020,5.10,161,46800000,1.78,73.0
138,A. Di María,30,Argentina,84,84,29500000,125000,Left,C,S,RM,2021,5.11,152,54600000,1.8,68.9
139,M. Mandžukić,32,Croatia,84,84,25000000,160000,Right,B,B,ST,2020,6.3,187,41300000,1.91,84.8
140,Willian,29,Brazil,84,84,30500000,175000,Right,A,A,RW,2020,5.9,172,56400000,1.75,78.0
141,Sergio Asenjo,29,Spain,84,85,24000000,42000,Right,B,D,GK,2022,6.2,192,52200000,1.88,87.1
142,E. Banega,30,Argentina,84,84,29000000,31000,Right,A,A,CDM,2020,5.9,157,60900000,1.75,71.2
143,A. Witsel,29,Belgium,84,84,24000000,77000,Right,A,A,LCM,2022,6.2,179,40800000,1.88,81.2
144,D. Payet,31,France,84,84,27500000,75000,Right,A,A,CAM,2021,5.9,170,52300000,1.75,77.1
145,Jonas,34,Brazil,84,84,16500000,25000,Right,S,B,ST,2020,5.11,163,33000000,1.8,73.9
146,Sokratis,30,Greece,84,84,23000000,140000,Right,C,C,RCB,2021,6.1,187,43700000,1.85,84.8
147,S. Ruffier,31,France,84,84,19000000,41000,Right,B,D,GK,2021,6.2,205,36100000,1.88,93.0
148,Falcao,32,Colombia,84,84,25000000,115000,Right,A,B,RS,2020,5.10,159,47500000,1.78,72.1
149,K. Schmeichel,31,Denmark,84,84,19000000,78000,Right,B,D,GK,2023,6.2,196,36100000,1.88,88.9
150,Raúl Albiol,32,Spain,84,84,18000000,88000,Right,B,C,RCB,2021,6.3,181,30600000,1.91,82.1
151,A. Gómez,30,Argentina,84,84,30000000,53000,Right,A,A,LS,2022,5.5,150,51000000,1.65,68.0
152,A. Barzagli,37,Italy,84,84,4200000,95000,Right,B,C,CB,2019,6.2,192,6900000,1.88,87.1
153,Quaresma,34,Portugal,84,84,15500000,80000,Right,A,S,RM,2020,5.9,148,29500000,1.75,67.1
154,A. Robben,34,Netherlands,84,84,15500000,110000,Left,C,A,RM,2019,5.11,176,25600000,1.8,79.8
155,O. Dembélé,21,France,83,92,40000000,155000,Left,S,A,RW,2022,5.10,148,90000000,1.78,67.1
156,Gabriel Jesus,21,Brazil,83,92,41000000,130000,Right,B,A,ST,2023,5.9,161,84100000,1.75,73.0
157,Ronaldo Cabrais,26,Brazil,83,83,28000000,51000,Right,A,A,RW,2021,5.10,165,50400000,1.78,74.8
158,Josué Chiamulera,26,Brazil,83,83,22500000,43000,Right,B,C,LCB,2021,6.1,176,40500000,1.85,79.8
159,Louri Beretta,26,Brazil,83,83,28500000,60000,Right,B,A,ST,2021,6.2,183,54200000,1.88,83.0
160,P. Kimpembe,22,France,83,89,30500000,82000,Left,B,B,LCB,2023,6.2,176,62500000,1.88,79.8
161,N. Keïta,23,Guinea,83,88,34000000,120000,Right,A,A,CM,2023,5.8,141,67200000,1.73,64.0
162,C. Tolisso,23,France,83,88,34000000,85000,Right,B,B,CM,2022,5.11,179,58700000,1.8,81.2
163,T. Lemar,22,France,83,89,35500000,64000,Left,C,A,LM,2023,5.7,137,79900000,1.7,62.1
164,K. Coman,22,France,83,87,34000000,85000,Right,B,S,LM,2023,5.10,157,58700000,1.78,71.2
165,J. Tah,22,Germany,83,88,29500000,67000,Right,A,C,CB,2023,6.5,214,52400000,1.96,97.1
167,T. Werner,22,Germany,83,87,34500000,70000,Right,A,B,RW,2020,5.11,165,61200000,1.8,74.8
168,A. Rabiot,23,France,83,87,33000000,91000,Left,B,B,CM,2019,6.4,176,63500000,1.93,79.8
169,L. Goretzka,23,Germany,83,88,34000000,85000,Right,A,B,CM,2022,6.2,174,58700000,1.88,78.9
170,Q. Promes,26,Netherlands,83,84,30500000,28000,Right,A,S,RM,2023,5.9,159,66300000,1.75,72.1
171,H. Ziyech,25,Morocco,83,86,32500000,28000,Left,C,A,RAM,2021,5.11,143,47900000,1.8,64.9
172,Lucas Vázquez,27,Spain,83,83,27000000,205000,Right,A,A,RW,2021,5.8,154,55400000,1.73,69.9
173,Y. Carrasco,24,Belgium,83,86,33000000,20000,Right,A,A,LM,2021,5.11,161,73400000,1.8,73.0
174,Gerard Moreno,26,Spain,83,85,32000000,53000,Left,A,A,LS,2023,5.11,170,69600000,1.8,77.1
175,Felipe,29,Brazil,83,83,20000000,22000,Right,B,C,RCB,2021,6.3,190,40000000,1.91,86.2
177,Kepa,23,Spain,83,91,28500000,84000,Right,A,D,GK,2025,6.1,187,58400000,1.85,84.8
178,Manu Trigueros,26,Spain,83,84,30000000,49000,Right,A,A,RCM,2022,5.10,165,65300000,1.78,74.8
179,S. Gnabry,22,Germany,83,88,34500000,85000,Right,A,A,ST,2020,5.9,165,59500000,1.75,74.8
180,J. Pickford,24,England,83,88,25000000,78000,Left,A,D,GK,2024,6.1,170,49400000,1.85,77.1
181,S. Savić,27,Montenegro,83,86,26000000,67000,Right,B,C,CB,2020,6.2,174,55300000,1.88,78.9
182,J. Stones,24,England,83,87,28500000,125000,Right,A,B,RCB,2022,6.2,154,54900000,1.88,69.9
183,Suso,24,Spain,83,86,33000000,115000,Left,B,A,RW,2022,5.9,154,58600000,1.75,69.9
184,J. Draxler,24,Germany,83,86,32500000,91000,Right,S,A,CM,2021,6.2,170,62600000,1.88,77.1
185,Felipe Anderson,25,Brazil,83,85,31500000,110000,Right,A,A,LM,2022,5.9,154,62200000,1.75,69.9
186,Lucas Moura,25,Brazil,83,84,31000000,115000,Right,B,A,RM,2023,5.9,154,59700000,1.75,69.9
187,Danilo Pereira,26,Portugal,83,86,27000000,21000,Right,B,B,CDM,2022,6.2,183,56000000,1.88,83.0
188,Nacho Fernández,28,Spain,83,85,24500000,180000,Right,A,C,CB,2021,5.11,168,52100000,1.8,76.2
189,T. Horn,25,Germany,83,87,24000000,25000,Left,B,D,GK,2023,6.4,198,37800000,1.93,89.8
190,Allan,27,Brazil,83,83,26500000,87000,Right,B,A,RCM,2023,5.9,163,45100000,1.75,73.9
191,F. Acerbi,30,Italy,83,83,19000000,64000,Left,B,B,CB,2023,6.4,194,32300000,1.93,88.0
192,Sergi Roberto,26,Spain,83,86,26500000,170000,Right,B,A,RB,2022,5.10,150,56300000,1.78,68.0
193,Rodrigo,27,Spain,83,84,30500000,57000,Left,B,A,ST,2022,6.0,170,66300000,1.83,77.1
194,Pizzi,28,Portugal,83,83,25500000,22000,Right,A,B,LCM,2022,5.10,159,51000000,1.78,72.1
195,K. Kampl,27,Slovenia,83,83,26500000,74000,Right,A,B,LCM,2021,5.10,148,45100000,1.78,67.1
196,Neto,28,Brazil,83,84,21000000,41000,Right,C,D,GK,2021,6.3,185,45700000,1.91,83.9
197,O. Baumann,28,Germany,83,84,21000000,42000,Right,D,D,GK,2021,6.2,181,37300000,1.88,82.1
198,I. Gueye,28,Senegal,83,83,21000000,125000,Right,B,B,RDM,2022,5.9,146,39900000,1.75,66.2
199,H. Mkhitaryan,29,Armenia,83,83,25500000,145000,Right,S,A,RM,2021,5.10,165,48500000,1.78,74.8
200,Marcos Alonso,27,Spain,83,84,24000000,130000,Left,B,B,LB,2023,6.2,192,46200000,1.88,87.1
201,D. Subašić,33,Croatia,83,83,13000000,70000,Right,C,D,GK,2020,6.3,185,24700000,1.91,83.9
202,K. Glik,30,Poland,83,83,19000000,86000,Right,C,C,RCB,2021,6.3,176,36100000,1.91,79.8
203,K. Strootman,28,Netherlands,83,83,21000000,66000,Left,B,B,CDM,2023,6.1,176,39900000,1.85,79.8
204,B. Dost,29,Netherlands,83,83,26000000,26000,Right,B,C,ST,2021,6.5,196,52000000,1.96,88.9
205,Oscar,26,Brazil,83,84,30500000,29000,Right,B,A,LCM,2020,5.10,146,69400000,1.78,66.2
206,M. Balotelli,27,Italy,83,83,27500000,55000,Right,A,A,LS,2019,6.2,194,52300000,1.88,88.0
207,Luiz Gustavo,30,Brazil,83,83,19000000,63000,Left,B,B,LCB,2021,6.2,172,36100000,1.88,78.0
208,Giuliano,28,Brazil,83,83,26000000,64000,Right,B,A,CAM,2021,5.8,150,44200000,1.73,68.0
209,David Luiz,31,Brazil,83,83,17500000,130000,Right,B,B,LCB,2019,6.2,190,32400000,1.88,86.2
210,R. Fährmann,29,Germany,83,84,20000000,38000,Right,D,D,GK,2022,6.6,216,35500000,1.98,98.0
211,Juan Mata,30,Spain,83,83,24500000,160000,Left,B,A,RM,2019,5.7,139,45300000,1.7,63.0
212,Adán,31,Spain,83,83,15500000,55000,Left,C,D,GK,2020,6.3,203,31800000,1.91,92.1
213,Rui Patrício,30,Portugal,83,83,16500000,74000,Left,C,D,GK,2022,6.3,185,31400000,1.91,83.9
214,Y. Sommer,29,Switzerland,83,84,20000000,35000,Right,A,D,GK,2021,6.0,174,35500000,1.83,78.9
215,Javi Martínez,29,Spain,83,83,20000000,94000,Right,B,C,CDM,2021,6.4,190,33000000,1.93,86.2
216,L. Bender,29,Germany,83,83,20000000,82000,Right,B,C,RB,2021,6.1,179,34000000,1.85,81.2
217,Lucas Leiva,31,Brazil,83,83,17500000,64000,Right,B,B,LDM,2020,5.10,172,29800000,1.78,78.0
218,S. Mandanda,33,France,83,83,13000000,51000,Right,B,D,GK,2020,6.1,181,24700000,1.85,82.1
219,Cesc Fàbregas,31,Spain,83,83,22000000,140000,Right,B,B,CM,2019,5.10,170,40700000,1.78,77.1
220,M. Dembélé,30,Belgium,83,83,24000000,120000,Left,C,A,CM,2019,6.1,181,44400000,1.85,82.1
221,F. Ribéry,35,France,83,83,11500000,72000,Right,A,S,LM,2019,5.7,159,19000000,1.7,72.1
222,R. Jarstein,33,Norway,83,83,13000000,33000,Right,A,D,GK,2021,6.3,181,22100000,1.91,82.1
223,D. De Rossi,34,Italy,83,83,8000000,80000,Right,A,C,RDM,2019,6.0,183,13600000,1.83,83.0
224,Pepe Reina,35,Spain,83,83,6000000,56000,Right,B,D,GK,2021,6.2,203,10200000,1.88,92.1
225,J. Pavlenka,26,Czech Republic,82,85,19500000,30000,Right,B,D,GK,2021,6.5,179,34600000,1.96,81.2
226,M. de Ligt,18,Netherlands,82,91,27000000,11000,Right,A,C,RCB,2021,6.2,196,43200000,1.88,88.9
227,Rodri,22,Spain,82,87,29000000,59000,Right,B,A,CM,2023,6.3,181,61600000,1.91,82.1
228,Arthur,21,Brazil,82,90,32500000,125000,Right,B,A,LCM,2024,5.7,161,73100000,1.7,73.0
229,G. Donnarumma,19,Italy,82,93,29000000,23000,Right,B,D,GK,2021,6.5,198,55100000,1.96,89.8
230,Rosberto Dourado,30,Brazil,82,82,16500000,46000,Right,A,C,RCM,2018,5.9,154,31400000,1.75,69.9
231,Juiano Mestres,34,Brazil,82,82,6500000,39000,Right,B,C,RCB,2021,5.11,181,12400000,1.8,82.1
232,Raphaelito Anjos,30,Brazil,82,82,14000000,32000,Right,C,D,GK,2021,6.3,187,25200000,1.91,84.8
233,Gelson Martins,23,Portugal,82,87,29500000,59000,Right,B,S,RM,2023,5.8,159,62700000,1.73,72.1
234,Gonçalo Guedes,21,Portugal,82,86,29000000,36000,Right,B,A,LM,2024,5.10,150,63100000,1.78,68.0
235,L. Torreira,22,Uruguay,82,87,25000000,98000,Right,B,B,LCM,2023,5.6,141,49400000,1.68,64.0
236,Malcom,21,Brazil,82,89,31500000,140000,Left,A,A,RW,2023,5.8,163,70900000,1.73,73.9
237,Pau López,23,Spain,82,87,21500000,21000,Left,B,D,GK,2023,6.2,170,46800000,1.88,77.1
238,L. Hernández,22,France,82,88,25500000,53000,Left,B,B,LB,2024,6.0,168,57400000,1.83,76.2
239,C. Lenglet,23,France,82,88,26000000,135000,Left,A,C,LCB,2023,6.1,179,58500000,1.85,81.2
240,A. Kramarić,27,Croatia,82,83,26000000,54000,Right,A,A,LCM,2022,5.10,161,46200000,1.78,73.0
241,A. Robertson,24,Scotland,82,87,24500000,98000,Left,C,B,LB,2021,5.10,141,48400000,1.78,64.0
242,Dani García,28,Spain,82,83,20000000,33000,Right,B,B,RCM,2022,5.11,176,43500000,1.8,79.8
