,Name,Age,Nationality,Overall,Potential,Value,Wage,Preferred.Foot,Weak.Foot,Skill.Moves,Position,Contract.Valid.Until,Height,Weight,Release.Clause,pac,shot,pas,dri,deff,phy,Meter,Kilo
31,C. Eriksen,26,Denmark,88,91,73500000,205000,Right,S,A,CAM,2020,5.11,168,141500000,74,80,88,85,49,61,1.8,76.2
32,Coutinho,26,Brazil,88,89,69500000,340000,Right,A,S,LW,2023,5.8,150,147700000,82,80,86,89,50,64,1.73,68.0
33,P. Aubameyang,29,Gabon,88,88,59000000,265000,Right,A,A,LM,2021,6.2,176,112100000,94,83,74,80,43,68,1.88,79.8
34,M. Hummels,29,Germany,88,88,46000000,160000,Right,B,B,LCB,2021,6.3,203,75900000,58,60,71,75,89,71,1.91,92.1
35,Marcelo,30,Brazil,88,88,43000000,285000,Left,A,S,LB,2022,5.9,176,88200000,82,70,80,88,80,82,1.75,79.8
36,G. Bale,28,Wales,88,88,60000000,355000,Left,B,A,ST,2022,6.1,181,123000000,94,85,84,81,60,76,1.85,82.1
37,H. Lloris,31,France,88,88,36000000,150000,Left,D,D,GK,2022,6.2,181,66600000,63,18,27,50,18,47,1.88,82.1
39,Thiago Silva,33,Brazil,88,88,24000000,165000,Right,B,C,RCB,2020,6.0,181,44400000,71,59,69,73,86,80,1.83,82.1
40,S. Handanovič,33,Slovenia,88,88,30000000,110000,Right,C,D,GK,2021,6.4,203,51000000,53,16,24,43,16,53,1.93,92.1
41,G. Buffon,40,Italy,88,88,4000000,77000,Right,C,D,GK,2019,6.4,203,7400000,46,19,28,51,15,55,1.93,92.1
42,S. Umtiti,24,France,87,92,57000000,205000,Left,B,C,CB,2023,6.0,165,121100000,72,66,69,74,86,83,1.83,74.8
43,M. Icardi,25,Argentina,87,90,64500000,130000,Right,A,B,ST,2021,5.11,165,114500000,77,84,56,80,40,74,1.8,74.8
44,K. Koulibaly,27,Senegal,87,90,51000000,115000,Right,B,C,LCB,2021,6.2,196,90500000,71,26,41,62,86,83,1.88,88.9
45,P. Pogba,25,France,87,91,64000000,210000,Right,A,S,RDM,2021,6.4,185,123200000,75,81,84,80,68,84,1.93,83.9
46,K. Navas,31,Costa Rica,87,87,30500000,195000,Right,B,D,GK,2020,6.1,176,62500000,53,16,28,51,17,55,1.85,79.8
47,R. Lukaku,25,Belgium,87,89,62500000,230000,Left,B,B,ST,2022,6.3,207,120300000,83,82,74,71,40,81,1.91,93.9
48,C. Immobile,28,Italy,87,87,52000000,115000,Right,A,B,ST,2023,6.1,187,88400000,81,85,60,79,44,77,1.85,84.8
49,Jordi Alba,29,Spain,87,87,38000000,250000,Left,B,B,LB,2020,5.7,150,77900000,93,66,76,83,79,77,1.7,68.0
50,D. Mertens,31,Belgium,87,87,45000000,135000,Right,A,A,RF,2020,5.7,134,76500000,89,80,79,89,35,59,1.7,60.8
51,J. Vertonghen,31,Belgium,87,87,34000000,155000,Left,B,B,LCB,2019,6.2,190,62900000,63,63,70,72,86,80,1.88,86.2
52,M. Hamšík,30,Slovakia,87,87,46500000,125000,Right,S,B,LCM,2020,6.0,174,79100000,68,80,81,81,71,69,1.83,78.9
53,I. Rakitić,30,Croatia,87,87,46500000,260000,Right,B,B,RCM,2021,6.0,172,95300000,62,83,86,77,69,64,1.83,78.0
54,Piqué,31,Spain,87,87,34000000,240000,Right,B,C,RCB,2022,6.4,187,69700000,54,60,63,66,86,73,1.93,84.8
55,L. Sané,22,Germany,86,92,61000000,195000,Left,B,A,LW,2021,6.0,165,125100000,94,80,76,83,41,68,1.83,74.8
56,Bernardo Silva,23,Portugal,86,91,59500000,180000,Left,B,A,RW,2022,5.8,141,114500000,79,72,80,88,45,58,1.73,64.0
57,Ederson,24,Brazil,86,90,41500000,125000,Left,B,D,GK,2025,6.2,190,79900000,63,21,39,54,18,50,1.88,86.2
58,S. Mané,26,Senegal,86,87,52000000,195000,Right,A,A,LM,2023,5.9,152,102700000,94,78,73,86,43,74,1.75,68.9
59,V. van Dijk,26,Netherlands,86,88,44500000,165000,Right,B,C,LCB,2023,6.4,203,87900000,75,57,66,70,85,82,1.93,92.1
60,R. Sterling,23,England,86,89,56500000,195000,Right,B,A,RW,2023,5.7,152,108800000,93,74,73,87,45,56,1.7,68.9
61,Roberto Firmino,26,Brazil,86,87,53000000,195000,Right,A,A,CAM,2023,5.11,168,104700000,77,80,77,84,60,79,1.8,76.2
62,R. Varane,25,France,86,91,50000000,210000,Right,B,C,RCB,2022,6.3,179,106300000,84,45,57,67,85,78,1.91,81.2
63,M. Verratti,25,Italy,86,89,55000000,135000,Right,A,A,LCM,2021,5.5,132,105900000,65,62,79,89,76,70,1.65,59.9
64,Alex Sandro,27,Brazil,86,86,36500000,160000,Left,B,B,LB,2020,5.11,176,60200000,84,67,73,80,81,83,1.8,79.8
65,Douglas Costa,27,Brazil,86,86,46500000,175000,Left,B,S,LM,2022,5.8,154,76700000,95,77,80,89,43,64,1.73,69.9
66,T. Müller,28,Germany,86,86,45000000,135000,Right,A,B,CAM,2021,6.1,165,74300000,74,80,76,79,53,73,1.85,74.8
67,Thiago,27,Spain,86,86,45500000,130000,Right,B,S,CM,2021,5.9,154,75100000,73,77,82,87,65,66,1.75,69.9
68,M. Reus,29,Germany,86,86,43500000,100000,Right,A,A,LM,2023,5.11,157,74000000,85,88,83,85,45,64,1.8,71.2
69,Azpilicueta,28,Spain,86,86,35000000,175000,Right,B,C,RB,2022,5.10,168,64800000,76,58,73,76,85,79,1.78,76.2
70,L. Bonucci,31,Italy,86,86,30000000,160000,Right,B,C,RCB,2023,6.3,187,49500000,61,58,66,71,86,80,1.91,84.8
71,T. Alderweireld,29,Belgium,86,87,39000000,150000,Right,B,C,RCB,2020,6.1,179,75100000,63,57,71,68,87,79,1.85,81.2
72,M. Pjanić,28,Bosnia Herzegovina,86,86,44000000,180000,Right,A,B,CDM,2023,5.10,159,72600000,66,73,86,83,71,68,1.78,72.1
73,M. Benatia,31,Morocco,86,86,30000000,160000,Right,B,C,CB,2020,6.2,207,49500000,70,43,47,67,86,82,1.88,93.9
74,M. Özil,29,Germany,86,86,43500000,190000,Left,C,A,CAM,2021,5.11,168,82700000,70,74,84,81,27,55,1.8,76.2
75,Fernandinho,33,Brazil,86,86,18000000,185000,Right,A,B,CDM,2020,5.10,148,33300000,67,72,75,79,80,79,1.78,67.1
76,Iniesta,34,Spain,86,86,21500000,21000,Right,A,A,LF,2021,5.7,150,26900000,68,72,82,86,60,54,1.7,68.0
77,M. Škriniar,23,Slovakia,85,92,46500000,82000,Right,A,C,LCB,2022,6.2,176,88400000,71,41,49,63,85,81,1.88,79.8
78,S. Milinković-Savić,23,Serbia,85,90,50500000,73000,Right,A,A,CM,2023,6.3,168,89600000,69,75,78,76,77,82,1.91,76.2
79,Marco Asensio,22,Spain,85,92,54000000,215000,Left,B,A,RW,2023,6.0,168,121500000,83,79,81,81,43,60,1.83,76.2
80,N. Fekir,24,France,85,89,50000000,92000,Left,B,A,CAM,2020,5.8,165,98800000,79,81,80,88,34,76,1.73,74.8
81,Alisson,25,Brazil,85,90,36500000,115000,Right,B,D,GK,2024,6.3,201,72100000,49,17,34,47,16,47,1.91,91.2
82,J. Kimmich,23,Germany,85,88,40500000,92000,Right,A,B,RCM,2023,5.9,154,69900000,73,65,79,83,77,75,1.75,69.9
83,Saúl,23,Spain,85,90,50500000,77000,Left,A,B,RCM,2026,6.0,170,107300000,73,74,75,79,78,77,1.83,77.1
84,R. Mahrez,27,Algeria,85,85,40500000,205000,Left,A,S,RW,2023,5.10,148,74900000,85,77,80,87,36,59,1.78,67.1
85,D. Alaba,26,Austria,85,87,38000000,110000,Left,A,B,LB,2021,5.11,168,65600000,82,75,80,80,80,77,1.8,76.2
86,Koke,26,Spain,85,86,45000000,88000,Right,A,B,LM,2019,5.9,163,95600000,69,72,85,80,65,75,1.75,73.9
87,A. Lacazette,27,France,85,86,45000000,180000,Right,A,A,ST,2022,5.9,161,88900000,82,82,70,84,43,74,1.75,73.0
88,K. Manolas,27,Greece,85,87,37500000,96000,Right,C,C,LCB,2022,6.2,183,66600000,82,21,35,68,85,82,1.88,83.0
89,N. Otamendi,30,Argentina,85,85,28500000,170000,Right,B,C,CB,2022,6.0,179,52700000,59,55,56,67,84,82,1.83,81.2
90,Parejo,29,Spain,85,85,37000000,66000,Right,A,B,RCM,2020,6.0,163,77700000,47,79,87,76,67,64,1.83,73.9
92,W. Szczęsny,28,Poland,85,87,32000000,125000,Right,B,D,GK,2021,6.5,198,55200000,49,14,26,47,15,55,1.96,89.8
93,A. Sánchez,29,Chile,85,85,37500000,215000,Right,B,A,RW,2022,5.7,163,69400000,82,81,78,86,47,80,1.7,73.9
94,Y. Brahimi,28,Algeria,85,85,39000000,28000,Right,B,A,LM,2019,5.9,146,78000000,81,75,78,88,39,63,1.75,66.2
95,J. Boateng,29,Germany,85,85,30000000,115000,Right,A,C,RCB,2021,6.4,198,49500000,69,52,64,68,84,78,1.93,89.8
96,A. Vidal,31,Chile,85,85,26000000,205000,Right,A,B,CAM,2021,5.11,165,53300000,57,80,77,78,84,85,1.8,74.8
97,I. Perišić,29,Croatia,85,85,37500000,110000,Right,S,A,LM,2022,6.1,176,63800000,86,80,78,80,63,79,1.85,79.8
98,E. Džeko,32,Bosnia Herzegovina,85,85,30500000,115000,Right,S,C,ST,2020,6.4,185,51900000,65,81,67,69,47,68,1.93,83.9
99,S. Khedira,31,Germany,85,85,33000000,160000,Right,A,C,RCM,2021,6.2,198,54500000,57,76,76,74,80,78,1.88,89.8
100,Diego Costa,29,Spain,85,85,38500000,100000,Right,A,C,LS,2021,6.2,190,78900000,75,81,62,73,50,81,1.88,86.2
101,R. Nainggolan,30,Belgium,85,85,35500000,105000,Right,B,B,CAM,2022,5.9,170,60400000,75,78,75,82,80,83,1.75,77.1
102,Naldo,35,Brazil,85,85,9000000,38000,Right,A,C,CB,2020,6.6,201,15300000,62,67,63,63,87,65,1.98,91.2
103,B. Matuidi,31,France,85,85,26000000,145000,Left,C,C,LM,2020,5.11,165,42900000,78,68,71,80,81,85,1.8,74.8
104,Miranda,33,Brazil,85,85,15500000,96000,Right,B,C,CB,2020,6.1,172,26400000,67,49,52,70,86,77,1.85,78.0
105,K. Benzema,30,France,85,85,37000000,240000,Right,A,A,ST,2021,6.1,179,75900000,76,81,76,78,35,73,1.85,81.2
106,Filipe Luís,32,Brazil,85,85,21500000,81000,Left,B,B,LB,2019,6.0,163,44100000,75,63,77,78,80,78,1.83,73.9
107,V. Kompany,32,Belgium,85,85,22000000,170000,Right,B,C,CB,2019,6.3,187,40700000,55,54,62,66,84,78,1.91,84.8
108,Pepe,35,Portugal,85,85,9000000,57000,Right,B,C,RCB,2019,6.2,179,17100000,67,47,52,65,83,79,1.88,81.2
109,Z. Ibrahimović,36,Sweden,85,85,14000000,15000,Right,A,S,RS,2022,6.5,209,21000000,58,86,78,74,38,74,1.96,94.8
110,D. Sánchez,22,Colombia,84,88,34000000,105000,Right,B,C,RCB,2024,6.2,174,65500000,75,42,47,67,83,79,1.88,78.9
111,J. Giménez,23,Uruguay,84,88,34000000,63000,Right,B,C,RCB,2023,6.1,176,72300000,69,41,46,58,85,83,1.85,79.8
112,Alex Telles,25,Brazil,84,87,32000000,22000,Left,C,B,LB,2021,5.11,157,66400000,84,71,83,78,78,79,1.8,71.2
113,A. Laporte,24,France,84,88,34000000,135000,Left,B,C,LCB,2023,6.2,187,65500000,64,49,66,65,85,74,1.88,84.8
114,Bruno Fernandes,23,Portugal,84,88,40500000,22000,Right,B,A,LCM,2023,5.10,152,84000000,77,82,83,81,62,73,1.78,68.9
115,N. Süle,22,Germany,84,90,36500000,84000,Right,B,C,CB,2022,6.5,214,67500000,68,41,43,53,83,69,1.96,97.1
116,A. Martial,22,France,84,90,42500000,165000,Right,B,A,LW,2019,6.0,168,87100000,88,81,70,83,44,70,1.83,76.2
117,D. Alli,22,England,84,90,42500000,115000,Right,B,A,LCM,2024,6.2,176,87100000,74,80,77,79,70,78,1.88,79.8
118,Fabinho,24,Brazil,84,88,34000000,120000,Right,C,B,CDM,2023,6.2,172,67200000,70,69,73,76,82,82,1.88,78.0
119,Marquinhos,24,Brazil,84,89,35500000,90000,Right,B,C,LDM,2022,6.0,165,68300000,74,38,60,72,84,78,1.83,74.8
120,William Carvalho,26,Portugal,84,86,31500000,38000,Right,A,B,CDM,2023,6.2,183,68500000,51,56,75,70,78,79,1.88,83.0
121,Jorginho,26,Italy,84,87,38000000,155000,Right,B,B,CM,2023,5.11,148,73200000,72,69,81,80,69,70,1.8,67.1
122,F. Thauvin,25,France,84,87,39000000,72000,Left,B,A,RM,2021,5.10,154,77000000,83,79,80,82,44,70,1.78,69.9
123,Carvajal,26,Spain,84,87,31500000,185000,Right,B,B,RB,2022,5.8,161,66900000,81,46,68,79,80,78,1.73,73.0
124,M. Depay,24,Netherlands,84,89,42000000,93000,Right,B,S,ST,2021,5.9,172,83000000,87,79,81,81,34,77,1.75,78.0
125,H. Son,25,Korea Republic,84,85,37000000,125000,Right,S,A,LM,2023,6.0,143,71200000,87,82,75,82,43,67,1.83,64.9
126,A. Lopes,27,Portugal,84,86,25000000,72000,Left,C,D,GK,2020,6.0,179,49400000,63,15,26,52,16,58,1.83,81.2
127,S. de Vrij,26,Netherlands,84,86,31500000,88000,Right,A,C,CB,2023,6.2,172,55900000,68,41,51,69,85,75,1.88,78.0
128,M. Perin,25,Italy,84,89,29500000,105000,Right,B,D,GK,2022,6.2,170,50900000,56,17,24,47,16,45,1.88,77.1
129,J. Cuadrado,30,Colombia,84,84,29500000,150000,Right,B,S,RAM,2020,5.10,159,48700000,91,74,75,84,65,73,1.78,72.1
130,Iago Aspas,30,Spain,84,84,30000000,45000,Left,B,B,ST,2022,5.9,148,63000000,81,83,75,83,39,66,1.75,67.1
131,B. Leno,26,Germany,84,87,27000000,115000,Right,A,D,GK,2023,6.3,183,53300000,49,14,27,46,19,53,1.91,83.0
132,N. Matić,29,Serbia,84,84,24000000,165000,Left,B,B,CDM,2020,6.4,187,44400000,55,71,75,70,80,79,1.93,84.8
133,L. Hrádecký,28,Finland,84,84,22000000,74000,Right,B,D,GK,2023,6.4,187,37400000,41,12,20,40,12,47,1.93,84.8
134,Illarramendi,28,Spain,84,84,31000000,51000,Right,B,A,RDM,2023,5.10,165,65100000,61,67,77,78,74,71,1.78,74.8
135,K. Walker,28,England,84,84,24500000,165000,Right,C,C,RB,2022,6.0,154,45300000,89,65,73,75,80,81,1.83,69.9
136,I. Gündoğan,27,Germany,84,84,32000000,175000,Right,A,A,CM,2020,5.11,176,59200000,67,75,81,83,66,68,1.8,79.8
137,José Callejón,31,Spain,84,84,27500000,105000,Right,B,B,RM,2020,5.10,161,46800000,88,78,71,82,46,68,1.78,73.0
138,A. Di María,30,Argentina,84,84,29500000,125000,Left,C,S,RM,2021,5.11,152,54600000,84,77,82,83,47,69,1.8,68.9
139,M. Mandžukić,32,Croatia,84,84,25000000,160000,Right,B,B,ST,2020,6.3,187,41300000,70,79,66,73,68,85,1.91,84.8
140,Willian,29,Brazil,84,84,30500000,175000,Right,A,A,RW,2020,5.9,172,56400000,88,74,80,83,47,57,1.75,78.0
141,Sergio Asenjo,29,Spain,84,85,24000000,42000,Right,B,D,GK,2022,6.2,192,52200000,56,15,32,48,17,51,1.88,87.1
142,E. Banega,30,Argentina,84,84,29000000,31000,Right,A,A,CDM,2020,5.9,157,60900000,66,72,84,81,66,67,1.75,71.2
143,A. Witsel,29,Belgium,84,84,24000000,77000,Right,A,A,LCM,2022,6.2,179,40800000,70,76,75,78,80,81,1.88,81.2
144,D. Payet,31,France,84,84,27500000,75000,Right,A,A,CAM,2021,5.9,170,52300000,73,78,85,82,40,62,1.75,77.1
145,Jonas,34,Brazil,84,84,16500000,25000,Right,S,B,ST,2020,5.11,163,33000000,64,85,77,81,42,64,1.8,73.9
146,Sokratis,30,Greece,84,84,23000000,140000,Right,C,C,RCB,2021,6.1,187,43700000,68,48,44,67,83,82,1.85,84.8
147,S. Ruffier,31,France,84,84,19000000,41000,Right,B,D,GK,2021,6.2,205,36100000,47,15,26,46,14,54,1.88,93.0
148,Falcao,32,Colombia,84,84,25000000,115000,Right,A,B,RS,2020,5.10,159,47500000,67,83,69,80,46,77,1.78,72.1
149,K. Schmeichel,31,Denmark,84,84,19000000,78000,Right,B,D,GK,2023,6.2,196,36100000,59,19,32,51,15,48,1.88,88.9
150,Raúl Albiol,32,Spain,84,84,18000000,88000,Right,B,C,RCB,2021,6.3,181,30600000,53,40,56,66,84,73,1.91,82.1
151,A. Gómez,30,Argentina,84,84,30000000,53000,Right,A,A,LS,2022,5.5,150,51000000,90,76,80,88,38,62,1.65,68.0
152,A. Barzagli,37,Italy,84,84,4200000,95000,Right,B,C,CB,2019,6.2,192,6900000,69,39,52,68,85,70,1.88,87.1
153,Quaresma,34,Portugal,84,84,15500000,80000,Right,A,S,RM,2020,5.9,148,29500000,83,76,82,85,24,64,1.75,67.1
154,A. Robben,34,Netherlands,84,84,15500000,110000,Left,C,A,RM,2019,5.11,176,25600000,79,84,80,87,34,59,1.8,79.8
155,O. Dembélé,21,France,83,92,40000000,155000,Left,S,A,RW,2022,5.10,148,90000000,92,76,75,84,36,58,1.78,67.1
156,Gabriel Jesus,21,Brazil,83,92,41000000,130000,Right,B,A,ST,2023,5.9,161,84100000,86,78,69,87,40,75,1.75,73.0
157,Ronaldo Cabrais,26,Brazil,83,83,28000000,51000,Right,A,A,RW,2021,5.10,165,50400000,87,78,82,82,39,70,1.78,74.8
158,Josué Chiamulera,26,Brazil,83,83,22500000,43000,Right,B,C,LCB,2021,6.1,176,40500000,80,45,51,71,84,76,1.85,79.8
159,Louri Beretta,26,Brazil,83,83,28500000,60000,Right,B,A,ST,2021,6.2,183,54200000,81,82,60,70,38,73,1.88,83.0
160,P. Kimpembe,22,France,83,89,30500000,82000,Left,B,B,LCB,2023,6.2,176,62500000,76,41,59,72,81,81,1.88,79.8
161,N. Keïta,23,Guinea,83,88,34000000,120000,Right,A,A,CM,2023,5.8,141,67200000,69,71,73,86,61,67,1.73,64.0
162,C. Tolisso,23,France,83,88,34000000,85000,Right,B,B,CM,2022,5.11,179,58700000,70,74,76,77,76,83,1.8,81.2
163,T. Lemar,22,France,83,89,35500000,64000,Left,C,A,LM,2023,5.7,137,79900000,85,75,82,84,59,69,1.7,62.1
164,K. Coman,22,France,83,87,34000000,85000,Right,B,S,LM,2023,5.10,157,58700000,94,75,75,83,27,62,1.78,71.2
165,J. Tah,22,Germany,83,88,29500000,67000,Right,A,C,CB,2023,6.5,214,52400000,70,29,49,61,82,76,1.96,97.1
167,T. Werner,22,Germany,83,87,34500000,70000,Right,A,B,RW,2020,5.11,165,61200000,93,77,63,80,38,70,1.8,74.8
168,A. Rabiot,23,France,83,87,33000000,91000,Left,B,B,CM,2019,6.4,176,63500000,73,74,75,79,76,77,1.93,79.8
169,L. Goretzka,23,Germany,83,88,34000000,85000,Right,A,B,CM,2022,6.2,174,58700000,81,72,78,78,77,75,1.88,78.9
170,Q. Promes,26,Netherlands,83,84,30500000,28000,Right,A,S,RM,2023,5.9,159,66300000,90,78,77,82,38,71,1.75,72.1
171,H. Ziyech,25,Morocco,83,86,32500000,28000,Left,C,A,RAM,2021,5.11,143,47900000,75,74,85,82,53,63,1.8,64.9
172,Lucas Vázquez,27,Spain,83,83,27000000,205000,Right,A,A,RW,2021,5.8,154,55400000,81,71,80,81,46,70,1.73,69.9
173,Y. Carrasco,24,Belgium,83,86,33000000,20000,Right,A,A,LM,2021,5.11,161,73400000,88,76,76,82,38,65,1.8,73.0
174,Gerard Moreno,26,Spain,83,85,32000000,53000,Left,A,A,LS,2023,5.11,170,69600000,78,79,63,75,49,68,1.8,77.1
175,Felipe,29,Brazil,83,83,20000000,22000,Right,B,C,RCB,2021,6.3,190,40000000,63,41,49,63,82,86,1.91,86.2
177,Kepa,23,Spain,83,91,28500000,84000,Right,A,D,GK,2025,6.1,187,58400000,33,17,32,41,18,44,1.85,84.8
178,Manu Trigueros,26,Spain,83,84,30000000,49000,Right,A,A,RCM,2022,5.10,165,65300000,66,72,79,77,69,72,1.78,74.8
179,S. Gnabry,22,Germany,83,88,34500000,85000,Right,A,A,ST,2020,5.9,165,59500000,91,79,70,83,44,65,1.75,74.8
180,J. Pickford,24,England,83,88,25000000,78000,Left,A,D,GK,2024,6.1,170,49400000,48,23,38,52,17,54,1.85,77.1
181,S. Savić,27,Montenegro,83,86,26000000,67000,Right,B,C,CB,2020,6.2,174,55300000,58,33,46,63,84,76,1.88,78.9
182,J. Stones,24,England,83,87,28500000,125000,Right,A,B,RCB,2022,6.2,154,54900000,69,38,60,71,83,77,1.88,69.9
183,Suso,24,Spain,83,86,33000000,115000,Left,B,A,RW,2022,5.9,154,58600000,80,75,82,83,32,51,1.75,69.9
184,J. Draxler,24,Germany,83,86,32500000,91000,Right,S,A,CM,2021,6.2,170,62600000,77,78,80,83,55,64,1.88,77.1
185,Felipe Anderson,25,Brazil,83,85,31500000,110000,Right,A,A,LM,2022,5.9,154,62200000,91,72,75,85,54,57,1.75,69.9
186,Lucas Moura,25,Brazil,83,84,31000000,115000,Right,B,A,RM,2023,5.9,154,59700000,92,76,73,84,45,70,1.75,69.9
187,Danilo Pereira,26,Portugal,83,86,27000000,21000,Right,B,B,CDM,2022,6.2,183,56000000,65,63,64,72,80,81,1.88,83.0
188,Nacho Fernández,28,Spain,83,85,24500000,180000,Right,A,C,CB,2021,5.11,168,52100000,74,39,59,68,81,79,1.8,76.2
189,T. Horn,25,Germany,83,87,24000000,25000,Left,B,D,GK,2023,6.4,198,37800000,48,17,28,37,15,50,1.93,89.8
190,Allan,27,Brazil,83,83,26500000,87000,Right,B,A,RCM,2023,5.9,163,45100000,77,66,70,81,79,82,1.75,73.9
191,F. Acerbi,30,Italy,83,83,19000000,64000,Left,B,B,CB,2023,6.4,194,32300000,60,50,59,61,84,76,1.93,88.0
192,Sergi Roberto,26,Spain,83,86,26500000,170000,Right,B,A,RB,2022,5.10,150,56300000,78,61,77,76,78,67,1.78,68.0
193,Rodrigo,27,Spain,83,84,30500000,57000,Left,B,A,ST,2022,6.0,170,66300000,89,79,72,80,47,72,1.83,77.1
194,Pizzi,28,Portugal,83,83,25500000,22000,Right,A,B,LCM,2022,5.10,159,51000000,77,77,81,80,59,70,1.78,72.1
195,K. Kampl,27,Slovenia,83,83,26500000,74000,Right,A,B,LCM,2021,5.10,148,45100000,77,68,78,84,59,66,1.78,67.1
196,Neto,28,Brazil,83,84,21000000,41000,Right,C,D,GK,2021,6.3,185,45700000,51,18,25,49,15,55,1.91,83.9
197,O. Baumann,28,Germany,83,84,21000000,42000,Right,D,D,GK,2021,6.2,181,37300000,49,14,22,42,16,53,1.88,82.1
198,I. Gueye,28,Senegal,83,83,21000000,125000,Right,B,B,RDM,2022,5.9,146,39900000,74,58,62,79,82,82,1.75,66.2
199,H. Mkhitaryan,29,Armenia,83,83,25500000,145000,Right,S,A,RM,2021,5.10,165,48500000,81,77,76,82,53,70,1.78,74.8
200,Marcos Alonso,27,Spain,83,84,24000000,130000,Left,B,B,LB,2023,6.2,192,46200000,72,73,80,74,80,78,1.88,87.1
201,D. Subašić,33,Croatia,83,83,13000000,70000,Right,C,D,GK,2020,6.3,185,24700000,52,16,32,42,14,54,1.91,83.9
